epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08102,2.15428,4.22932,1.41185,0,0,0,0,1.53867,4.2505,1.44012,0,0,0
2,6.15544,2.15136,4.1148,1.62004,0.00212,0.0625,0.00552,0.00055,1.55233,4.25207,1.44289,8.73004e-06,8.73004e-06,8.73004e-06
3,9.14285,2.1773,4.25804,1.38002,0.00225,0.0625,0.00766,0.00077,1.55606,4.25392,1.44633,1.67401e-05,1.67401e-05,1.67401e-05
4,12.3021,1.81264,4.19177,1.42146,0.00231,0.0625,0.01313,0.00131,1.56603,4.2557,1.44678,2.40303e-05,2.40303e-05,2.40303e-05
5,15.1697,2.23792,4.26534,1.53493,0.0024,0.0625,0.01112,0.00222,1.577,4.25425,1.44399,3.06006e-05,3.06006e-05,3.06006e-05
6,18.0658,2.07179,4.23588,1.44416,0.00248,0.0625,0.01115,0.00223,1.5796,4.25149,1.43229,3.64509e-05,3.64509e-05,3.64509e-05
7,20.9343,2.03979,4.14698,1.38087,0.00255,0.0625,0.01322,0.00397,1.5596,4.24922,1.42296,4.15813e-05,4.15813e-05,4.15813e-05
8,23.9269,2.2469,4.28623,1.52956,0.00272,0.0625,0.01328,0.00398,1.55124,4.24414,1.4204,4.59918e-05,4.59918e-05,4.59918e-05
9,27.1658,1.8834,4.04153,1.47397,0.00313,0.0625,0.0216,0.00216,1.47465,4.20002,1.41484,4.96823e-05,4.96823e-05,4.96823e-05
10,30.3076,1.91835,4.00706,1.39186,0.00352,0.0625,0.03196,0.00959,1.45803,4.20667,1.40237,5.26529e-05,5.26529e-05,5.26529e-05
11,33.5632,1.82472,4.02594,1.33225,0.00806,0.125,0.06532,0.02035,1.4731,4.187,1.38775,5.49036e-05,5.49036e-05,5.49036e-05
12,36.8285,1.66489,4.06948,1.26465,0.00962,0.125,0.06708,0.02152,1.47807,4.17195,1.38427,5.64344e-05,5.64344e-05,5.64344e-05
13,40.0138,1.70298,3.97275,1.23913,0.0119,0.125,0.07054,0.02382,1.50099,4.16896,1.38851,5.72452e-05,5.72452e-05,5.72452e-05
14,43.2644,1.67576,3.88272,1.32962,0.01282,0.125,0.07702,0.02739,1.54174,4.1676,1.39187,5.73361e-05,5.73361e-05,5.73361e-05
15,46.3426,1.72812,3.81071,1.26054,0.01613,0.125,0.0526,0.01761,1.56082,4.15384,1.38631,5.67071e-05,5.67071e-05,5.67071e-05
16,49.7347,1.55155,3.69634,1.17826,0.01613,0.125,0.04536,0.02025,1.5792,4.14129,1.36448,5.53581e-05,5.53581e-05,5.53581e-05
17,52.8507,1.65674,3.73347,1.22083,0.0199,0.20833,0.04899,0.02077,1.58016,4.10422,1.34684,5.32892e-05,5.32892e-05,5.32892e-05
18,56.2654,1.57238,3.64342,1.1655,0.0199,0.20833,0.04899,0.02077,1.58016,4.10422,1.34684,5.05004e-05,5.05004e-05,5.05004e-05
19,59.2951,1.37434,3.40578,1.1131,0.0303,0.27083,0.11626,0.04593,1.57623,4.08666,1.32926,4.69917e-05,4.69917e-05,4.69917e-05
20,62.3982,1.38794,3.54101,1.14777,0.0303,0.27083,0.11626,0.04593,1.57623,4.08666,1.32926,4.2763e-05,4.2763e-05,4.2763e-05
21,65.4812,1.56176,3.62409,1.14385,0.02934,0.27083,0.11622,0.06725,1.59447,4.0386,1.30381,3.78144e-05,3.78144e-05,3.78144e-05
22,69.0584,1.58512,3.56565,1.25848,0.02934,0.27083,0.11622,0.06725,1.59447,4.0386,1.30381,3.21459e-05,3.21459e-05,3.21459e-05
23,72.4552,1.37216,3.53597,1.28558,0.03375,0.27083,0.13103,0.07831,1.59863,4.01301,1.283,2.57574e-05,2.57574e-05,2.57574e-05
24,75.4816,1.49508,3.40644,1.16391,0.03375,0.27083,0.13103,0.07831,1.59863,4.01301,1.283,1.8649e-05,1.8649e-05,1.8649e-05
25,78.6149,1.57328,3.53698,1.14787,0.0326,0.27083,0.13113,0.07856,1.58238,4.00637,1.26448,1.08207e-05,1.08207e-05,1.08207e-05
