epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.629209,2.58806,4.47671,1.92622,0,0,0,0,1.79898,4.11099,1.71919,0,0,0
2,1.31822,0,3.35618,0,0,0,0,0,1.75555,4.13611,1.72265,1.60099e-05,1.60099e-05,1.60099e-05
3,2.01546,1.85372,4.44778,1.40693,0,0,0,0,1.88158,4.13467,1.74601,3.06995e-05,3.06995e-05,3.06995e-05
4,2.76213,1.30383,4.73437,1.1155,0,0,0,0,2.14046,4.15602,1.8098,4.40688e-05,4.40688e-05,4.40688e-05
5,3.41569,2.52911,4.40205,1.15852,0,0,0,0,2.16769,4.19212,1.84249,5.61179e-05,5.61179e-05,5.61179e-05
6,4.03537,1.34523,4.03758,1.01716,0,0,0,0,2.23108,4.21082,1.88471,6.68467e-05,6.68467e-05,6.68467e-05
7,4.64838,0,3.33742,0,0,0,0,0,2.2955,4.13801,1.81218,7.62552e-05,7.62552e-05,7.62552e-05
8,5.27311,1.43472,3.94309,1.11576,0,0,0,0,2.26966,4.18521,1.8129,8.43435e-05,8.43435e-05,8.43435e-05
9,5.91131,1.44673,4.07807,1.05938,0,0,0,0,2.36697,4.18767,1.82116,9.11116e-05,9.11116e-05,9.11116e-05
10,6.54285,1.39002,3.60139,1.02532,0,0,0,0,2.3969,4.15618,1.81229,9.65593e-05,9.65593e-05,9.65593e-05
11,7.18215,1.15198,3.89349,0.90132,0,0,0,0,2.3864,4.12174,1.79613,0.000100687,0.000100687,0.000100687
12,7.89535,1.07097,3.34634,0.92904,0.00478,0.2,0.00299,0.0003,2.43365,4.13381,1.80026,0.000103494,0.000103494,0.000103494
13,8.7137,1.23265,3.69733,0.88202,0.00488,0.2,0.00316,0.00063,2.44212,4.1321,1.79018,0.000104981,0.000104981,0.000104981
14,9.53461,1.35241,4.21933,1.13539,0.00495,0.2,0.00342,0.00034,2.6306,4.18544,1.86052,0.000105148,0.000105148,0.000105148
15,10.3324,2.82086,4.44477,1.85969,0.00508,0.2,0.00515,0.00103,2.81014,4.16404,1.86877,0.000103994,0.000103994,0.000103994
16,11.0285,1.36315,3.41594,0.92521,0.02116,0.8,0.03036,0.00805,2.72071,3.90358,1.67948,0.00010152,0.00010152,0.00010152
17,11.7485,1.20529,3.24881,0.92868,0.0163,0.6,0.02485,0.01019,3.05018,3.99992,1.65527,9.77262e-05,9.77262e-05,9.77262e-05
18,12.4093,0.9172,3.1099,0.87661,0.0163,0.6,0.02485,0.01019,3.05018,3.99992,1.65527,9.26119e-05,9.26119e-05,9.26119e-05
19,13.0979,1.20162,3.00307,0.91599,0.01765,0.6,0.0203,0.00565,3.24627,4.28678,1.57097,8.61772e-05,8.61772e-05,8.61772e-05
20,13.7213,1.34511,3.19867,1.0714,0.01765,0.6,0.0203,0.00565,3.24627,4.28678,1.57097,7.84223e-05,7.84223e-05,7.84223e-05
21,14.3467,1.86046,3.09586,1.34954,0.02469,0.8,0.02531,0.00502,3.30404,4.24997,1.65365,6.93472e-05,6.93472e-05,6.93472e-05
22,14.9456,1.23408,3.02413,0.91784,0.02469,0.8,0.02531,0.00502,3.30404,4.24997,1.65365,5.89518e-05,5.89518e-05,5.89518e-05
23,15.7506,2.04444,2.99959,1.37678,0.01987,0.6,0.01701,0.00447,3.2436,4.37345,1.81791,4.72361e-05,4.72361e-05,4.72361e-05
24,16.373,0.97384,3.06686,0.93549,0.01987,0.6,0.01701,0.00447,3.2436,4.37345,1.81791,3.42002e-05,3.42002e-05,3.42002e-05
25,16.9859,0.6269,2.91655,0.74964,0.01379,0.4,0.00977,0.00586,3.63477,4.73037,2.43762,1.9844e-05,1.9844e-05,1.9844e-05
