Student Answer,Problem Type,Model v1 (CPU),Model v2 (GPU)
09B222461_Flutter_CWP_Basic_p1,p1(Text),0.78,-
09B222461_Flutter_CWP_Basic_p2,p2(InputBox),LongInput,0.74
09B222461_Flutter_CWP_Basic_p3,p3(button),0.72(Text),0.34
09B222461_Flutter_CWP_Basic_p4,p4(checkbox),0.55,-
09B222461_Flutter_CWP_Basic_p5,p5(dropdown),0.50,-
09B22401_Flutter_CWP_Basic_p1,p1(Text),0.89,-
09B22401_Flutter_CWP_Basic_p2,p2(InputBox),LongInput,0.47
09B22401_Flutter_CWP_Basic_p3,p3(button),Error,-
09B22401_Flutter_CWP_Basic_p4,p4(checkbox),0.61,-
09B22401_Flutter_CWP_Basic_p5,p5(dropdown),0.63(Text),0.60
09B22407_Flutter_CWP_Basic_p1,p1(Text),0.80,-
09B22407_Flutter_CWP_Basic_p2,p2(InputBox),0.79,-
09B22407_Flutter_CWP_Basic_p3,p3(button),0.70(Text),0.53
09B22407_Flutter_CWP_Basic_p4,p4(checkbox),0.84,-
09B22407_Flutter_CWP_Basic_p5,p5(dropdown),0.29,-
09B22438_Flutter_CWP_Basic_p1,p1(Text),Error,-
09B22438_Flutter_CWP_Basic_p2,p2(InputBox),Error,-
09B22438_Flutter_CWP_Basic_p3,p3(button),Error,
09B22438_Flutter_CWP_Basic_p4,p4(checkbox),Error,-
09B22438_Flutter_CWP_Basic_p5,p5(dropdown),Error,-
09B22439_Flutter_CWP_Basic_p1,p1(Text),0.87,-
09B22439_Flutter_CWP_Basic_p2,p2(InputBox),0.67(text)/0.45(checkbox),-
09B22439_Flutter_CWP_Basic_p3,p3(button),0.78(Text),0.31
09B22439_Flutter_CWP_Basic_p4,p4(checkbox),0.59,-
09B22439_Flutter_CWP_Basic_p5,p5(dropdown),0.69,-
09B22440_Flutter_CWP_Basic_p1,p1(Text),0.88,-
09B22440_Flutter_CWP_Basic_p2,p2(InputBox),0.83,-
09B22440_Flutter_CWP_Basic_p3,p3(button),Not detected,0.72
09B22440_Flutter_CWP_Basic_p4,p4(checkbox),0.58,-
09B22440_Flutter_CWP_Basic_p5,p5(dropdown),0.71,-
09B22445_Flutter_CWP_Basic_p1,p1(Text),0.77,-
09B22445_Flutter_CWP_Basic_p2,p2(InputBox),LongInput,0.45
09B22445_Flutter_CWP_Basic_p3,p3(button),0.73(Text),0.43
09B22445_Flutter_CWP_Basic_p4,p4(checkbox),0.57,-
09B22445_Flutter_CWP_Basic_p5,p5(dropdown),0.69(Text),0.32
09B22470_Flutter_CWP_Basic_p1,p1(Text),0.90,-
09B22470_Flutter_CWP_Basic_p2,p2(InputBox),LongInput,0.59
