studentID,exercise,score,remark
Sample_Flutter_CWP_Basic_p3,p3,Error: [Errno 13] Permission denied: '/p3',-
Sample_Flutter_CWP_Basic_p1,p1,Success,-
Sample_Flutter_CWP_Basic_p1,p1,Flutter Build Failed,-
09B22401_Flutter_CWP_Basic_p1,p1,0.89,pdf extract
09B22407_Flutter_CWP_Basic_p1,p1,0.80
09B22438_Flutter_CWP_Basic_p1,p1,Error
09B22439_Flutter_CWP_Basic_p1,p1,0.87
09B22440_Flutter_CWP_Basic_p1,p1,0.88
09B22445_Flutter_CWP_Basic_p1,p1,0.77
09B22470_Flutter_CWP_Basic_p1,p1,0.90
09B22478_Flutter_CWP_Basic_p1,p1,0.88
09B22490_Flutter_CWP_Basic_p1,p1,0.88
09B22491_Flutter_CWP_Basic_p1,p1,0.89
09B22495_Flutter_CWP_Basic_p1,p1,0.88
09B22498_Flutter_CWP_Basic_p1,p1,0.83
09B22500_Flutter_CWP_Basic_p1,p1,0.90
09B22570_Flutter_CWP_Basic_p1,p1,0.83
09B22573_Flutter_CWP_Basic_p1,p1,0.78
09B22578_Flutter_CWP_Basic_p1,p1,0.87
09B22583_Flutter_CWP_Basic_p1,p1,0.79,Japan Text + Flutter
09B22591_Flutter_CWP_Basic_p1,p1,0.27(checkbox), Because of Japan Text 
09B22619_Flutter_CWP_Basic_p1,p1,0.74, Although Japan Text 
09B222461_Flutter_CWP_Basic_p1,p1,0.78
Exercize1,p1,0.77  
09B22401_Flutter_CWP_Basic_p2,p2,Long Input,pdf extract
09B22407_Flutter_CWP_Basic_p2,p2,0.79
09B22438_Flutter_CWP_Basic_p2,p2,Error
09B22439_Flutter_CWP_Basic_p2,p2,0.67(text) and 0.45(checkbox)
09B22440_Flutter_CWP_Basic_p2,p2,0.83
09B22445_Flutter_CWP_Basic_p2,p2,Long Input
09B22470_Flutter_CWP_Basic_p2,p2,Long Input
09B22478_Flutter_CWP_Basic_p2,p2,Long Line
09B22490_Flutter_CWP_Basic_p2,p2,Error
09B22491_Flutter_CWP_Basic_p2,p2,Error
09B22495_Flutter_CWP_Basic_p2,p2,0.84
09B22498_Flutter_CWP_Basic_p2,p2,Long Input
09B22500_Flutter_CWP_Basic_p2,p2,Error
09B22570_Flutter_CWP_Basic_p2,p2,Long Input
09B22573_Flutter_CWP_Basic_p2,p2,Long Input
09B22578_Flutter_CWP_Basic_p2,p2,0.84
09B22583_Flutter_CWP_Basic_p2,p2,Error
09B22591_Flutter_CWP_Basic_p2,p2,Long Input,Japan Text
