studentID,exercise,remark
09B222461_Flutter_CWP_Basic_p3,p3,Error: [Errno 13] Permission denied: '/p3'
exercise5,p5,Success
09B22578_Flutter_CWP_Basic_p5,p5,Success
exercise5,p5,Success
exercise5,p5,Success
Exercise4,p4,Success
09B222461_Flutter_CWP_Basic_p1,p1,Success
09B22407_Flutter_CWP_Basic_p1,p1,Success
09B22438_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22439_Flutter_CWP_Basic_p1,p1,Success
09B22440_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22445_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22470_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22478_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22490_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22491_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22495_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22498_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22500_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22570_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22573_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22578_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22583_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22591_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
09B22619_Flutter_CWP_Basic_p1,p1,Flutter Build Failed
Exercize1,p1,Flutter Build Failed
