Image,Similarity (%),Remark
12345_Flutter_CMP_Basic_p1.png,75.58,75.5851D22703_Flutter_CMP_Basic_p4.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p4.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p4.png,11.80,11.80
51D22703_Flutter_CMP_Basic_p4.png,6.97,6.97
51D22703_Flutter_CMP_Basic_p4.png,5.47,5.47
51D22703_Flutter_CMP_Basic_p4.png,3.23,3.23
51D22703_Flutter_CMP_Basic_p4.png,32.09,32.09
51D22703_Flutter_CMP_Basic_p3.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p3.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p3.png,26.81,26.81
51D22703_Flutter_CMP_Basic_p3.png,12.47,12.47
51D22703_Flutter_CMP_Basic_p3.png,8.04,8.04
51D22703_Flutter_CMP_Basic_p3.png,6.22,6.22
51D22703_Flutter_CMP_Basic_p3.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p3.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p3.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p3.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p3.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p1.png,75.58,75.58
51D22703_Flutter_CMP_Basic_p1.png,75.58,75.58
51D22703_Flutter_CMP_Basic_p1.png,20.35,20.35
51D22703_Flutter_CMP_Basic_p1.png,8.42,8.42
51D22703_Flutter_CMP_Basic_p1.png,5.47,5.47
51D22703_Flutter_CMP_Basic_p1.png,2.33,2.33
51D22703_Flutter_CMP_Basic_p1.png,75.58,75.58
51D22703_Flutter_CMP_Basic_p1.png,75.58,75.58
51D22703_Flutter_CMP_Basic_p1.png,75.58,75.58
51D22703_Flutter_CMP_Basic_p2.png,99.77,100.00
51D22703_Flutter_CMP_Basic_p2.png,100.00,100.00
51D22703_Flutter_CMP_Basic_p2.png,12.47,12.47
51D22703_Flutter_CMP_Basic_p2.png,11.80,11.80
51D22703_Flutter_CMP_Basic_p2.png,11.41,11.41
